tab	measurements
citations	location	sample	site	specimen	experiment	instrument_codes	method_codes	magic_software_packages	dir_csd	dir_dec	description	quality	dir_inc	magn_moment	number	measurement_positions	measurement_sd_x	measurement_sd_y	measurement_sd_z	measurement_standard	measurement_temp	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_temp
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-05-17 15:24:10	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    2.8	205.1		g	 06.8 	4.64e-06	15	1	9.40e-08	1.87e-07	9.43e-08	u	273	0	0	0.00	-90.00	  848.0
This study	Puff Island	Puf1-3	Puf1-3	Puf1-3a	Puf1-3a:LP-DIR-T	hargrave 2016-05-18 12:16:58	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.4	204.7		g	 06.7 	4.42e-06	16	1	2.92e-08	4.26e-08	1.02e-07	u	273	0	0	0.00	-90.00	  853.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-04-08 17:32:12	LT-NO:LP-DIR-T	pmagpy-3.4.1	    2.5	288.0		g	 28.2 	1.19e-05	1	1	4.77e-07	1.81e-07	1.13e-07	u	273	0	0	0.00	-90.00	273
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-04-11 17:54:41	LT-LT-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	287.2		g	 28.2 	1.18e-05	2	1	1.44e-07	1.05e-07	1.20e-07	u	273	0	0	0.00	-90.00	77
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-04-18 10:27:32	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    0.8	288.8		g	 28.2 	1.18e-05	3	1	8.74e-08	9.64e-08	1.18e-07	u	273	0	0	0.00	-90.00	  373.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-04-18 17:40:34	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.8	288.6		g	 27.5 	1.20e-05	4	1	3.34e-07	1.45e-07	1.19e-07	u	273	0	0	0.00	-90.00	  473.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-04-19 13:28:30	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	290.0		g	 27.1 	1.21e-05	5	1	1.59e-07	1.08e-07	1.29e-07	u	273	0	0	0.00	-90.00	  573.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-04-25 13:13:14	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	289.3		g	 27.1 	1.18e-05	6	1	1.45e-07	1.19e-07	1.46e-07	u	273	0	0	0.00	-90.00	  623.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-04-26 10:09:40	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.1	288.8		g	 27.0 	1.06e-05	7	1	1.11e-07	1.02e-07	1.32e-07	u	273	0	0	0.00	-90.00	  673.0
This study	Puff Island	Puf1-4	Puf1-4	Puf1-4a	Puf1-4a:LP-DIR-T	hargrave 2016-04-26 17:40:00	LT-T-Z:LP-DIR-T	pmagpy-3.4.1	    1.0	290.2		g	 26.8 	9.27e-06	8	1	9.42e-08	7.64e-08	1.11e-07	u	273	0	0	0.00	-90.00	  723.0
